Strain
A/Himantopus himantopus/Hebei/CZ-179/2014
A/ruddy turnstone/Delaware Bay/261/1999
A/ruddy turnstone/New Jersey/AI03-128/2003
A/shorebird/Delaware Bay/31/1996
A/shorebird/Delaware Bay/277/2000
A/ruddy turnstone/New Jersey/UGAI17-2775/2017
A/ruddy turnstone/Delaware Bay/253/2011
A/gray plover/Chile/C1313/2015
A/brown-hooded gull/Chile/C15103/2016
A/Mediterranean gull/Republic of Georgia/1/2011
A/common redshank/Singapore/F83-1/2015
A/pelican/Zambia/13/2009
A/black-headed gull/Republic of Georgia/2/2011
A/Grey Teal/Victoria/GT001/2017
A/duck/Guangxi/LAD9/2009
A/guineafowl/Hong Kong/WF10_CIP046_RGAO032/1999
A/ruddy turnstone/DE/773/1988
A/laughing gull/Delaware/2971/1988
A/ruddy turnstone/DE/2731/1987
A/ruddy turnstone/Delaware Bay/2774/1987
A/ruddy turnstone/Delaware/1016407/2003
A/ruddy turnstone/New Jersey/1016440/2003
A/ruddy turnstone/Delaware/1016443/2003
A/mallard/Maryland/07OS832/2007
A/gull/Massachusetts/13JR00943/2013
A/shorebird/Delaware/554/2007
A/ruddy turnstone/New Jersey/AI07-72/2007
A/ruddy turnstone/Delaware Bay/231/2003
A/mallard duck/Alberta/743/1983
A/green-winged teal/Wisconsin/562/1979
A/mallard/Wisconsin/24/1974
A/blue-winged teal/Louisiana/UGAI14-2494/2014
A/mallard duck/Ohio/16OS0875/2016
A/ruddy turnstone/Delaware Bay/268/2011
A/blue-winged teal/Ohio/16OS1068/2016
A/ruddy turnstone/Delaware Bay/117/2019
A/Ruddy Turnstone/Delaware/195/2019
A/Ruddy Turnstone/Delaware/136/2019
A/ruddy turnstone/Delaware Bay/55/2019
A/Red Knot/Delaware/140/2019
A/ruddy turnstone/New Jersey/650577/2002
A/ruddy turnstone/Delaware/AI03-180/2003
A/American black duck/Maine/UGAI16-5487/2016
A/rosy-billed pochard/Argentina/CIP051-559/2007
A/mallard/Chile/C14592/2016
A/American oystercatcher/Chile/C1307/2015
A/ruddy turnstone/Delaware Bay/464/2011
A/shorebird/Delaware/249/2006
A/ruddy turnstone/Delaware Bay/66/2003
A/mallard/Arkansas/AI09-5649/2009
A/turkey/Minnesota/38391-6/1995
A/sanderling/Delaware Bay/449/2006
A/northern shoveler/Missouri/298/2009
A/Mallard/Nevada/D1514013/2015
A/northern pintail/California/HS050A/2015
A/Green-Winged Teal/California/D1800952/2018
A/cackling goose/Alaska/UGAI15-3075/2015
